MiniLab	11/14/2023	1:21:46 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	P1 (psig)	P2 (psig)	P3 (psig)	P4 (psig)	Fuel Flow  (gal/hr)	RPM	Thrust (lbs)
441.708	42.171	45.162	48.443	38.860	0.000	-4.987	-5.002	-0.500	-0.002	-36.691	0.003
442.708	41.963	45.204	48.553	39.004	0.000	-4.984	-5.001	-0.500	-0.003	-55.700	0.106
443.710	41.833	45.209	48.569	39.032	0.000	-4.984	-5.001	-0.500	-0.003	-55.975	0.134
444.710	41.779	45.189	48.569	39.065	0.000	-4.985	-5.001	-0.500	-0.003	-51.971	0.176
445.709	41.576	44.994	48.494	39.255	0.000	-4.979	-4.993	-0.500	-0.001	-65.278	-0.367
446.710	41.594	44.864	48.288	39.088	0.000	-4.985	-4.995	-0.500	-0.001	-34.927	-0.322
447.710	41.536	44.885	48.258	39.062	0.000	-4.987	-4.996	-0.500	-0.002	-30.996	-0.225
448.709	41.319	44.745	47.581	38.505	-0.002	0.031	0.230	0.041	-0.049	-1099.755	9.868
449.710	41.278	44.785	47.723	39.063	-0.002	0.032	0.229	0.040	0.001	-1099.618	9.898
450.709	41.131	44.983	47.933	38.349	-0.002	0.031	0.230	0.040	0.001	8.778	10.512
451.709	41.132	44.964	48.012	39.475	-0.002	0.031	0.230	0.040	0.001	6.934	10.323
452.709	41.282	44.797	47.300	38.690	-0.002	0.030	0.228	0.040	0.001	10.258	10.305
453.709	41.127	44.998	47.856	38.568	-0.002	0.033	0.230	0.040	0.001	8.463	10.477
454.711	41.196	44.969	47.522	39.113	-0.002	0.033	0.228	0.040	0.001	8.463	10.513
455.710	41.480	44.755	47.508	38.584	-0.002	0.031	0.227	0.039	0.002	10.291	10.164
456.710	41.463	44.954	47.797	38.838	-0.002	0.032	0.228	0.039	0.001	12.717	10.593
457.711	41.584	44.698	47.695	38.766	-0.002	0.033	0.229	0.039	0.001	6.732	10.040
458.711	41.668	44.905	47.848	38.968	-0.002	0.034	0.228	0.039	0.001	12.564	10.598
459.713	41.763	44.754	47.431	39.226	-0.002	0.036	0.231	0.040	0.001	4.539	10.107
460.713	41.897	44.822	47.618	38.297	-0.002	0.034	0.230	0.040	0.001	5.284	10.210
461.713	42.140	44.675	47.262	38.795	-0.002	0.033	0.230	0.040	0.001	8.794	10.146
462.714	42.099	44.773	47.404	38.870	-0.002	0.036	0.231	0.040	0.001	6.068	10.142
463.714	42.355	44.769	47.052	38.425	-0.002	0.033	0.230	0.040	0.001	9.126	10.237
464.715	42.435	44.733	47.514	38.734	-0.002	0.034	0.230	0.039	0.001	9.530	10.043
465.717	42.362	44.845	47.817	39.001	-0.002	0.036	0.231	0.039	0.001	4.709	10.142
466.716	42.575	44.707	46.964	38.244	-0.002	0.034	0.230	0.040	0.001	10.485	10.193
467.716	42.492	44.769	48.023	39.087	-0.002	0.036	0.233	0.040	0.001	4.992	10.090
468.716	42.458	44.822	47.685	38.759	-0.002	0.036	0.233	0.040	0.001	6.246	10.180
469.716	42.509	44.998	47.624	38.792	-0.002	0.037	0.233	0.040	0.001	11.391	10.556
470.716	42.588	44.746	47.540	38.806	-0.002	0.037	0.234	0.040	0.001	7.767	9.973
471.716	42.443	44.901	47.717	38.281	-0.002	0.036	0.233	0.040	0.001	8.827	10.339
472.716	42.682	44.839	47.286	38.465	-0.002	0.034	0.230	0.040	0.001	14.982	10.370
473.717	42.586	44.699	47.280	38.223	-0.002	0.037	0.232	0.040	0.001	6.877	10.051
474.717	42.603	44.972	47.940	38.514	-0.002	0.037	0.232	0.040	0.001	13.381	10.555
475.718	42.655	44.942	47.867	38.662	-0.002	0.036	0.231	0.039	0.001	13.987	10.519
476.717	42.757	44.742	46.961	39.017	-0.002	0.037	0.232	0.040	0.001	12.483	10.234
477.717	42.701	44.921	47.921	38.863	-0.002	0.038	0.233	0.039	0.001	7.670	10.331
478.717	42.899	44.701	47.212	38.090	-0.002	0.036	0.232	0.040	0.001	9.627	10.061
479.718	42.805	44.770	47.776	38.699	-0.002	0.039	0.235	0.040	0.001	7.079	10.146
480.717	42.851	45.024	47.216	38.410	-0.002	0.040	0.240	0.040	0.001	14.804	10.620
481.717	42.725	44.719	47.419	38.463	-0.002	0.059	0.254	0.042	0.001	32.560	10.095
482.717	42.466	44.631	47.279	38.864	-0.002	0.080	0.277	0.045	0.001	4209.597	9.998
483.717	42.127	44.761	47.823	38.737	-0.002	0.108	0.300	0.049	0.001	5250.635	10.671
484.718	41.637	44.273	47.343	39.097	-0.002	0.135	0.329	0.051	0.001	6553.170	10.234
485.718	40.928	44.209	47.371	38.697	-0.002	0.163	0.355	0.053	0.001	7652.482	10.509
486.719	40.435	43.841	46.946	39.301	-0.002	0.187	0.377	0.054	0.002	8551.822	10.748
487.718	39.747	43.395	46.989	39.464	-0.002	0.207	0.398	0.057	0.001	9257.639	10.310
488.719	39.032	43.342	47.307	39.386	-0.002	0.223	0.414	0.059	10.086	9798.947	10.675
489.719	38.585	43.012	61.478	40.832	0.016	0.379	0.573	0.071	10.087	10293.589	11.090
490.720	37.812	42.464	167.410	50.037	0.031	0.508	0.701	0.079	8.015	12164.094	10.627
491.719	37.440	42.686	299.854	59.614	0.048	0.660	0.845	0.087	7.849	14010.088	11.135
492.720	36.861	42.527	431.100	68.419	0.069	0.867	1.062	0.103	7.845	15598.768	10.786
493.720	36.287	42.419	550.904	80.128	0.093	1.167	1.357	0.153	5.896	17644.605	11.053
494.719	35.742	42.603	648.647	102.675	0.122	1.610	1.793	0.210	-0.049	20667.600	11.290
495.719	35.314	42.798	720.162	136.967	0.093	2.175	2.368	0.276	2.712	24478.986	11.795
496.720	35.060	43.561	772.704	181.821	0.042	2.963	3.143	0.364	10.086	28718.069	12.373
497.721	34.717	44.696	816.266	230.872	0.069	4.026	4.203	0.467	3.892	33701.410	12.271
498.722	34.302	47.190	843.220	272.362	0.117	5.477	5.621	0.584	3.722	39490.396	12.675
499.722	33.704	50.310	850.027	312.677	0.187	6.977	7.110	0.698	3.692	45751.563	13.028
500.721	32.987	54.674	838.684	339.286	0.224	7.694	7.827	0.777	3.645	49579.828	12.939
501.722	32.187	59.240	818.213	357.481	0.249	8.054	8.186	0.808	3.750	51531.372	13.489
502.721	31.786	62.851	790.375	371.897	0.253	8.030	8.153	0.803	3.782	52125.568	13.645
503.722	31.364	65.517	760.884	383.142	0.248	7.860	7.979	0.784	3.712	52187.264	13.647
504.724	31.042	67.000	734.757	390.190	0.240	7.589	7.715	0.768	3.633	51517.402	13.343
505.725	30.643	67.840	711.609	397.106	0.232	7.264	7.402	0.735	3.603	50702.511	13.024
506.725	30.281	68.481	693.612	401.591	0.221	6.912	7.032	0.698	3.672	49731.661	13.317
507.724	30.165	68.574	678.965	405.725	0.214	6.661	6.794	0.666	3.622	48730.856	13.414
508.725	30.006	68.450	670.897	408.595	0.208	6.539	6.683	0.659	3.726	47980.977	13.382
509.726	29.974	68.156	668.495	412.503	0.204	6.551	6.696	0.662	3.643	47680.523	12.947
510.726	29.706	68.433	670.454	416.939	0.204	6.756	6.890	0.678	3.792	47906.307	13.029
511.726	29.682	68.651	678.222	421.201	0.211	6.994	7.132	0.707	3.802	48624.889	12.944
512.726	29.647	69.523	686.512	425.537	0.210	7.216	7.347	0.727	3.862	49280.934	13.407
513.728	29.622	70.390	694.990	430.053	0.224	7.550	7.687	0.759	4.072	49859.801	13.562
514.727	29.627	71.502	704.425	435.560	0.237	8.021	8.154	0.803	4.076	50680.775	13.461
515.727	29.555	72.935	717.272	441.758	0.261	8.864	8.986	0.866	4.083	52134.191	13.820
516.729	29.549	75.111	739.563	447.961	0.286	9.547	9.664	0.930	4.332	54456.081	14.062
517.728	29.474	77.699	754.372	453.078	0.312	10.045	10.159	0.992	4.272	56021.321	14.438
518.729	29.313	80.152	764.282	458.670	0.329	10.809	10.911	1.070	4.492	57351.459	14.382
519.728	29.319	83.036	775.991	464.123	0.357	11.480	11.606	1.122	4.562	59149.707	15.014
520.728	29.307	85.648	778.818	469.309	0.376	11.642	11.767	1.145	4.712	60397.724	14.952
521.728	29.098	88.032	775.799	474.266	0.369	11.490	11.618	1.132	4.630	60518.325	14.733
522.728	29.065	89.689	768.268	477.333	0.365	11.341	11.463	1.113	4.532	60151.475	14.662
523.729	29.219	90.847	765.156	480.137	0.365	11.221	11.336	1.101	4.402	59864.488	14.833
524.729	29.078	91.740	765.460	483.012	0.358	11.086	11.202	1.085	4.262	59663.659	14.912
525.728	29.168	92.294	766.038	484.868	0.356	11.027	11.126	1.083	4.452	59496.052	14.569
526.728	29.006	92.864	767.701	486.882	0.355	10.997	11.091	1.075	4.362	59347.746	14.687
527.728	28.866	93.242	767.787	488.791	0.352	10.931	11.035	1.063	4.352	59180.988	14.502
528.730	28.890	93.647	766.779	490.112	0.350	10.857	10.962	1.073	4.334	59129.048	14.722
529.729	28.787	93.835	767.333	492.031	0.351	10.810	10.900	1.055	4.332	58954.508	14.158
530.730	28.712	94.494	769.041	493.304	0.347	10.789	10.885	1.064	4.332	58890.321	14.743
531.729	28.634	94.800	769.130	495.801	0.348	10.766	10.855	1.056	4.342	58803.541	14.539
532.730	28.510	95.097	767.809	496.861	0.344	10.880	10.980	1.063	4.272	58739.871	14.548
533.730	28.495	95.383	770.015	498.909	0.354	11.116	11.216	1.082	4.502	59226.392	14.280
534.729	28.392	96.107	770.401	501.019	0.360	11.218	11.323	1.084	4.363	59584.677	14.725
535.730	28.541	96.622	768.235	501.450	0.363	11.282	11.377	1.101	4.363	59776.276	14.451
536.730	28.384	97.509	766.298	503.352	0.363	11.286	11.392	1.128	4.382	59876.144	14.953
537.730	28.430	98.049	763.572	503.827	0.365	11.239	11.350	1.128	4.302	59886.968	14.777
538.730	28.649	98.457	760.935	504.981	0.365	11.247	11.350	1.135	4.232	59922.730	14.728
539.731	28.628	98.816	759.215	505.175	0.368	11.217	11.324	1.126	4.252	59916.898	14.471
540.733	28.725	99.400	757.934	505.205	0.362	11.210	11.316	1.120	4.352	59900.711	14.967
541.732	28.728	99.517	756.552	505.574	0.362	11.186	11.273	1.124	4.292	59817.094	14.475
542.733	28.686	99.853	755.797	505.920	0.359	11.130	11.233	1.115	4.212	59776.608	14.559
543.733	28.736	100.062	754.598	506.532	0.359	11.169	11.268	1.122	4.232	59761.813	14.694
544.733	28.835	100.486	755.469	506.561	0.360	11.153	11.256	1.115	4.272	59745.691	14.981
545.733	28.723	100.706	754.355	507.012	0.360	11.178	11.267	1.114	4.212	59740.279	14.939
546.734	28.602	100.912	755.098	506.582	0.357	11.180	11.277	1.121	4.222	59728.801	14.725
547.734	28.567	101.194	754.966	506.868	0.359	11.178	11.282	1.121	4.311	59717.427	14.831
548.735	28.676	101.432	756.563	506.809	0.362	11.173	11.262	1.122	4.262	59731.033	15.185
549.735	28.622	101.624	756.866	506.854	0.359	11.175	11.266	1.120	4.162	59729.367	14.892
550.735	28.753	101.644	758.905	506.634	0.361	11.176	11.278	1.130	4.142	59739.001	14.609
551.735	28.719	101.942	759.731	506.135	0.354	11.174	11.279	1.131	4.282	59753.537	14.971
552.734	28.687	101.954	759.681	506.397	0.358	11.183	11.284	1.131	4.213	59816.730	14.692
553.736	28.665	102.123	759.323	506.324	0.358	11.177	11.288	1.128	4.252	59807.257	14.614
554.735	28.620	102.181	758.636	506.112	0.359	11.173	11.270	1.114	4.225	59806.772	14.561
555.735	28.440	102.607	759.718	505.839	0.361	11.164	11.268	1.117	4.241	59792.648	14.838
556.736	28.718	102.678	760.597	505.808	0.352	11.179	11.281	1.123	4.172	59794.590	14.913
557.735	28.777	102.771	761.929	506.278	0.356	11.192	11.295	1.111	4.272	59801.773	14.677
558.735	28.771	102.982	762.403	506.137	0.361	11.232	11.325	1.128	4.212	59827.165	14.909
559.736	28.661	103.039	762.051	506.023	0.363	11.215	11.326	1.112	4.212	59862.175	14.511
560.735	28.496	103.299	760.681	506.733	0.360	11.216	11.323	1.115	4.202	59861.414	14.680
561.735	28.610	103.389	760.142	506.233	0.364	11.228	11.324	1.110	4.227	59911.340	14.878
562.735	28.559	103.440	760.898	506.575	0.363	11.217	11.317	1.111	4.212	59914.722	14.491
563.735	28.582	103.519	759.927	506.449	0.365	11.213	11.308	1.115	4.102	59923.466	14.487
564.735	28.613	103.702	760.010	506.247	0.362	11.209	11.306	1.110	4.062	59917.585	14.583
565.737	28.581	104.057	760.974	506.161	0.359	11.183	11.280	1.113	4.212	59913.694	14.794
566.737	28.880	104.102	761.281	506.256	0.361	11.218	11.312	1.113	4.262	59922.075	14.608
567.737	29.105	104.384	761.352	506.251	0.365	11.191	11.288	1.102	4.142	59950.298	14.905
568.739	29.307	104.667	762.427	506.405	0.359	11.180	11.273	1.110	4.237	59948.906	14.965
569.738	29.507	104.746	764.204	506.423	0.365	11.194	11.290	1.101	4.212	59948.437	14.734
570.738	29.634	104.834	764.733	506.358	0.361	11.195	11.292	1.117	4.122	59950.597	14.532
571.740	29.625	104.901	765.934	506.293	0.364	11.229	11.340	1.110	4.212	59958.646	14.535
572.740	29.367	105.001	765.812	507.163	0.364	11.270	11.369	1.100	4.172	60037.199	14.528
573.741	29.394	105.057	765.659	506.638	0.360	11.281	11.373	1.102	4.122	60089.010	14.498
574.741	29.463	105.332	766.539	505.865	0.364	11.301	11.396	1.108	4.191	60093.896	14.820
575.741	29.306	105.144	766.403	506.430	0.362	11.318	11.412	1.109	4.185	60095.862	14.646
576.740	29.175	105.168	765.141	506.699	0.364	11.307	11.408	1.104	4.122	60100.942	14.596
577.740	28.955	105.170	764.434	505.853	0.360	11.307	11.414	1.112	4.162	60083.963	14.601
578.741	28.705	105.219	764.905	505.836	0.359	11.281	11.370	1.104	4.242	60068.391	14.697
579.741	28.628	105.385	764.364	505.152	0.368	11.294	11.389	1.099	4.172	60063.125	15.055
580.740	28.726	105.205	763.397	505.667	0.366	11.334	11.422	1.102	4.192	60063.424	14.747
581.741	28.594	105.221	763.552	504.918	0.362	11.307	11.397	1.102	4.162	60080.031	14.518
582.742	28.324	105.454	763.600	504.664	0.366	11.303	11.391	1.094	4.312	60086.939	14.892
583.744	28.468	105.290	763.655	505.050	0.368	11.345	11.435	1.114	4.172	60120.817	14.538
584.745	28.555	105.362	763.519	504.229	0.365	11.316	11.419	1.110	4.203	60134.487	14.780
585.744	28.479	105.421	763.258	503.644	0.366	11.333	11.430	1.114	4.102	60133.905	14.550
586.745	28.490	105.693	762.716	503.972	0.367	11.345	11.436	1.103	4.122	60149.930	15.205
587.744	28.441	105.789	762.470	503.450	0.369	11.335	11.413	1.101	4.162	60163.349	15.078
588.744	28.430	105.761	762.305	503.425	0.364	11.377	11.464	1.109	4.129	60174.626	14.891
589.745	28.445	105.656	761.711	502.581	0.364	11.353	11.445	1.105	4.072	60208.956	14.729
590.746	28.374	105.603	761.306	502.951	0.364	11.374	11.471	1.103	4.222	60205.777	14.882
591.745	28.374	105.836	760.758	502.789	0.368	11.347	11.437	1.116	4.262	60220.782	14.977
592.745	28.383	105.759	761.979	502.270	0.366	11.362	11.452	1.112	4.132	60216.697	14.659
593.745	28.310	105.712	762.329	502.587	0.369	11.373	11.475	1.114	4.032	60212.685	14.491
594.746	28.220	106.047	763.447	501.794	0.366	11.356	11.443	1.111	4.071	60225.798	14.925
595.745	28.388	105.836	762.540	501.369	0.368	11.381	11.472	1.105	4.106	60231.873	14.677
596.746	28.151	106.031	762.511	502.008	0.365	11.380	11.473	1.106	4.292	60232.398	14.667
597.745	28.363	105.918	761.519	501.071	0.366	11.364	11.463	1.110	4.122	60263.024	14.645
598.747	28.281	106.199	761.690	501.195	0.365	11.367	11.473	1.109	4.122	60256.787	15.044
599.746	28.395	106.095	761.266	501.343	0.368	11.387	11.479	1.108	4.242	60259.958	15.048
600.748	28.255	106.015	761.006	500.969	0.361	11.380	11.467	1.113	4.202	60251.198	14.611
601.748	28.352	106.151	761.487	500.333	0.368	11.357	11.445	1.102	4.115	60264.480	14.935
602.747	28.385	106.121	761.206	500.650	0.366	11.376	11.467	1.104	4.163	60262.102	14.873
603.747	28.399	106.143	762.403	500.484	0.370	11.369	11.467	1.111	4.223	60265.143	14.604
604.747	28.317	106.467	762.388	500.613	0.365	11.389	11.481	1.102	4.192	60273.418	15.069
605.747	28.382	106.432	761.958	499.731	0.366	11.388	11.479	1.100	4.232	60282.163	15.231
606.747	28.340	106.293	761.272	500.159	0.368	11.384	11.467	1.109	4.082	60274.858	14.534
607.747	28.370	106.269	760.342	499.834	0.365	11.380	11.474	1.112	4.102	60287.469	14.772
608.747	28.331	106.340	759.571	499.952	0.374	11.368	11.463	1.096	4.171	60302.564	14.629
609.748	28.251	106.606	760.159	499.973	0.369	11.420	11.507	1.110	4.132	60310.208	14.997
610.747	28.423	106.601	760.355	499.373	0.370	11.434	11.519	1.122	4.132	60326.823	15.093
611.749	28.341	106.433	759.951	499.671	0.368	11.416	11.507	1.117	4.112	60324.178	14.687
612.749	28.360	106.452	758.870	499.485	0.371	11.396	11.490	1.115	4.112	60342.936	14.623
613.748	28.375	106.403	758.189	498.736	0.371	11.405	11.497	1.102	4.152	60333.084	14.548
614.748	28.192	106.596	759.165	499.403	0.369	11.400	11.493	1.109	4.092	60326.807	14.667
615.750	28.361	106.494	759.610	499.104	0.371	11.407	11.501	1.114	4.042	60333.820	14.401
616.749	28.323	106.759	758.890	499.392	0.371	11.420	11.501	1.103	4.202	60344.158	15.105
617.750	28.291	106.523	760.566	499.246	0.369	11.421	11.505	1.108	4.202	60344.279	14.407
618.749	28.230	106.806	760.469	498.867	0.371	11.423	11.502	1.109	4.052	60400.111	15.056
619.750	28.193	106.709	760.217	498.494	0.368	11.418	11.514	1.109	4.172	60382.128	14.638
620.750	28.278	106.816	759.719	498.244	0.372	11.413	11.491	1.111	4.112	60387.750	14.635
621.749	28.278	106.630	759.908	498.718	0.367	11.409	11.503	1.105	4.152	60369.542	14.390
622.749	28.138	106.881	760.317	498.483	0.373	11.403	11.504	1.110	4.062	60364.575	14.587
623.749	28.111	106.889	760.487	498.597	0.368	11.423	11.502	1.103	4.102	60363.087	14.512
624.749	28.322	106.927	760.725	497.916	0.372	11.415	11.496	1.158	4.092	60378.092	15.199
625.750	28.287	107.070	761.025	498.441	0.362	11.311	11.396	1.082	4.092	60255.533	15.095
626.752	28.302	106.757	762.056	498.662	0.368	11.391	11.489	1.094	4.132	60131.049	14.645
627.751	28.381	106.727	762.511	498.863	0.370	11.427	11.516	1.099	4.142	60298.244	14.521
628.752	28.282	106.698	760.625	499.150	0.368	11.421	11.509	1.098	4.110	60319.648	14.514
